ID,分類,部品名,仕様・型番,使用数,単位,購入予定数,購入単位,購入口数,余剰数,購入単位単価,明細金額,通貨,価格根拠,選定状況,購入先,URL,CAD形状数,備考
H01,締結材,基礎部の追加ねじ・ナット・座金,詳細は締結部品表、基礎部50点,1,式,,個別パック未確定,,,,2300,JPY,予算枠,数量確定・購入単位未確定,,,50,従来66点から三角板用M6ねじ8本・座金8枚を削除。溝ナット8個の削除はF04。2300円の一式仮枠は購入パック未確定のため据置き、16点の削減を架空の節約額へ換算しない。モーターねじFC-2512候補を含む。
MW,締結材,モーター座面用小径平座金,WILCO FW-2505-05EB、2.7×5×0.5mm,6,枚,10,10枚一括購入（数量割引）,1,4,319.0,319.0,JPY,販売表示・条件付き,型式選定済,WILCO,https://wilco.jp/products/F/FW-EB.html,6,10枚以上29円/枚は税別。10枚税込319円、予備4枚。最低注文数が10枚という意味ではない。
E02,電装候補,通信変換器用USBデータケーブル,USB–RS485変換器と操作用PCの端子確定後に選ぶ,1,本,,必要1本、商品未選定,,,,500,JPY,旧USB線の仮予算を保持、今回の価格取得なし,500円は既存仮予算、型番未選定,,,0,変換器に付属すれば重複購入しない。Pico用micro-Bには固定しない。
S02,送料,キャスター送料,,1,式,,送料／諸費1式,,,,0,JPY,販売表示・条件付き,既存Prime会員の対象配送条件で0円,Amazon.co.jp（Prime会員条件）,https://www.aboutamazon.jp/news/guide/answer-to-7-questions-about-shopping-at-amazon,0,Amazon公式の会員配送規定を適用する条件。会員ログイン後の最終注文額ではない。非会員の単品購入は別送料。新規会費は含めない。コーナン店舗受取なら商品283円＋受取送料0円。
S03,送料,フレーム・残存素材の追加送料枠,,1,式,,送料／諸費1式,,,,1000,JPY,予算枠,参考・条件付き,Amazonほか,,0,1000円は仮枠。荷台DECK_SHIPとCNC送料は別。
S04,送料,純正接合部・溝ナットの送料枠,,1,式,,送料／諸費1式,,,,,JPY,住所・同梱条件未確定,送料未確定,未確定,,0,"ミスミAmazon出品の3,000円以上送料無料表示。カート・配送先で確認。"
S06,送料,タイヤ国内通常送料,,1,式,,送料／諸費1式,,,,0,JPY,販売表示・条件付き,参考・条件付き,スイッチサイエンス,https://www.switch-science.com/policies/shipping-policy,0,2キット9240円を同時注文する条件で0円。
S07,送料,Taobao送料・輸入諸費,,1,式,,送料／諸費1式,,,,,JPY,未見積,未見積,Taobao等,,0,無料と仮定しない。配送・代行・税・為替未確定。
S08,送料,CNC日本宛送料,,1,式,,送料／諸費1式,,,,7.23,USD,実サイト自動見積,参考・条件付き,JLCCNC／OCS,https://jlccnc.com/jp/cnc-machining-quote,0,OCS表示7.23USD。住所別差額・税・決済換算別。
F03,D3荷台・フレーム,純正反転ブラケット本体,HBLFSN6,20,個,20,10個/パック,2,0,917,1834,JPY,2026-09-22 P1商品確認を継承,寸法選定済・実機検証前,Amazon掲載,https://www.amazon.co.jp/dp/B0DKF1FCD6,20,基礎8個＋支柱下端8個＋上端4個。D6.1の根元両側固定は購入予定パックの余り4個で対応。917円/パックは同日P1/D5の観測を継承。SUS支柱との混用は公称断面適合、現物の突起・座面確認が必要。
F04,D3荷台・フレーム,車体全体の先入れ溝ナット,HNTT6-6,70,個,100,50個/パック,2,30,2556,5112,JPY,2026-09-22 商品ページ2556円/50個を再確認,寸法選定済・実機検証前,Amazon掲載,https://www.amazon.co.jp/dp/B0DK9C99YH,70,天板6点固定のHNTT6-6を含む共通70個。購入100個の内数。新規パック追加なし。
D3_M6,D3荷台・フレーム,ブラケット・天板固定ボルト,M6x12 六角穴付、CBM6-12相当,50,個,70,35本/パック,2,20,1180,2360,JPY,2026-09-23 Amazon商品ページ、35本1180円税込,Onokatsu131-00-M6x12、購入パック確定・未購入,オノカツ／Amazon発送,https://www.amazon.co.jp/dp/B01N3BIIMO,50,天板M6×12を6本復帰。共通使用50本／購入70本。H01別枠4本は従来どおり別予算で二重配分しない。
D3_STOP_BOLTS,D3荷台・フレーム,印刷ストッパ固定ねじ,M4x25 六角穴付,8,個,,,,,,,JPY,購入単価未確定,寸法選定済・実機検証前,,,,PLA位置決め部品40x15x15を一個2本で固定。主荷物保持はベルト。
D3_STOP_NUTS,D3荷台・フレーム,ストッパ・床継ぎ目用ナット,TRUSCO Y810-0004、M4×0.7、三価クロメート、対辺7mmの公称モデル,28,個,40,20個/パック,2,12,273,546,JPY,2026-09-23 Amazon商品ページ、20個273円税込,パック確定・未購入,Amazon.co.jp,https://www.amazon.co.jp/dp/B0BVQJS1D2,28,荷物止め8＋床4＋ケース底8＋蓋8＝28個。20個273円×2。
D3_STOP_WASHERS,D3荷台・フレーム,ストッパ用座金,M4 ID4.3～4.4 OD9 t0.8（荷物ストッパ用）,8,枚,,,,,,,JPY,購入単価未確定,寸法選定済・実機検証前,,,,荷物ストッパ8枚。床継ぎ目のOD12座金8枚はD64_FLOOR_WASHERSへ分離。
P04,D6 PLA,床・PCカバー・荷物止め・操作ケース,D6.9全14個、D6.8から形状変更なし。床4、支持梁1、PCカバー1、荷物止め4、操作ケースと蓋4,888,g,0,,,,,1776,JPY,材料消費参考,寸法選定済・実機検証前,,,14,2円/g、中実CADの材料消費参考。非導電PLA。スライス支持材・失敗・電気・工賃別。
D3_STRAP_SHIP,D3荷台・フレーム,荷物固定ベルト送料参考,従来の地域表示を継承,1,個,,,,,,600,JPY,過去の地域表示参考,寸法選定済・実機検証前,,,,旧角棒送料600円を除去。住所別未確認。
DECK_plate,D3荷台・フレーム,固定式格子穴アルミ天板,300×300×4 / 6061-T6 / AMR_GridDeck_C45_D3 / qty1,1,枚,1,1枚×1,1,0,,28.67,USD,2026-09-21 UTC取得のJLCCNC実自動見積を同一形状へ再使用（今回の再取得なし）,寸法選定済・実機検証前,JLCCNC,https://jlccnc.com/jp/cnc-machining-quote,1,材料、50丸穴（格子36＋M6固定6＋荷物止め8）、4長穴込み。タップ・ヒンジ穴なし。D3見積STEPと今回の組立形状を照合。数量1枚全額、手動審査前。
DECK_CNC_SHIP,D3荷台・フレーム,アルミ天板1枚の日本宛送料,UPS Worldwide Express Saver,1,個,,,,,,9.98,USD,2026-09-21 UTC取得のD3天板単独配送表示を再使用,寸法選定済・実機検証前,,https://jlccnc.com/jp/cnc-machining-quote,,天板1枚の日本・国単位表示。住所別未検証。モーター金具は別配送。税・決済費用別、今回の送料再取得なし。
POWER_KIT,D5選定電源,純正電池＋急速充電器,Makita BL1860B A-60464 x1 + DC18RF JPADC18RF x1,1,式,1,1式,1,0,19800,19800,JPY,2026-09-22 販売ページ表示,型式選定・現物／電気検証前,,https://store.shopping.yahoo.co.jp/takahashihonsha/0088381464031-0088381523394-s.html,,どちらも未所有のため新規購入。新品セットばらし・化粧箱なし。充電器は車外。電池単体を別行で二重計上しない。
POWER_KIT_SHIP,D5選定電源,電池・充電器セット送料,東京都表示送料,1,式,1,1式,1,0,600,600,JPY,2026-09-22 販売ページ表示,型式選定・現物／電気検証前,,https://store.shopping.yahoo.co.jp/takahashihonsha/0088381464031-0088381523394-s.html,,住所・注文条件により変動。ポイントは値引き計上しない。
POWER_ADAPTER,D5選定電源,電池出力アダプター,Netkey diy-adapter03、14AWG、スイッチ・30Aヒューズ付き,1,式,1,1式,1,0,2180,2180,JPY,2026-09-22 販売ページ表示,型式選定・現物／電気検証前,,https://store.shopping.yahoo.co.jp/netkey-store/diy-adapter03.html,,公称約95×90×30mm・123g。全高30mmを加算。低電圧保護には使わない。付属30Aのまま小ハーネス保護を保証しない。
POWER_ADAPTER_SHIP,D5選定電源,アダプター送料,東京都表示送料,1,式,1,1式,1,0,800,800,JPY,2026-09-22 販売ページ表示,型式選定・現物／電気検証前,,https://store.shopping.yahoo.co.jp/netkey-store/diy-adapter03.html,,発送予定のある商品。ユーザー住所と最終納期は未確認。
POWER_PADS,D5選定電源,電池・電装の軟質当て材,電池・他電装下面2.6mm、PCカバー上10×10×1mmを4枚、上面1mm等の軟質当て材,1,式,1,1式,1,0,,,JPY,購入単価未確定,型式選定・現物／電気検証前,,,,PCの硬い受け5.6mmは床に一体印刷、その上へ2mm連続板カバーを追加。パッドは現物合わせ、温度適合確認前。価格未確定。
POWER_LOW_STRAPS,D6 1階電装,1階計算機・監視回路の保持ベルト,幅15mm、PC用・監視基板用各1本,2,本,,商品未選定,,,,,JPY,購入単価未確定,型式選定・現物／電気検証前,,,,幅15mm各1本、棚の長手方向に掛ける。受け棚は既存M6で固定。ケース選定後に通気口を避けて調整。
D6_POSTS,D6 上段支持,100mm溝付き支柱4本,SUS SF2-30・30 BLACK／SF9-322、100mm×4本,4,本,4,4本/パック,1,0,495,495,JPY,2026-09-22 Amazon商品ページ表示,型式・メーカー断面CAD確認、金具混用の現物確認前,Amazon掲載,https://www.amazon.co.jp/dp/B0CB5N6ZJJ,4,ブラック100mm4本を選択。メーカー単位質量0.84kg/m。切断・端面タップ・追加穴加工なし。通常5～6日以内発送の表示、送料・Prime配送は未確認。
D62_FLOOR_SCREWS,D6.4 1階床支持,床・ケース用M4×16,オノカツ133-00-0416、M4×16、JIS B1176、頭径7×高さ4mm,20,個,60,60本/パック,1,40,770,770,JPY,2026-09-23 メーカー直販ページ770円税込/60本,汎用規格品の購入候補、未購入,オノカツ公式ストア,https://store.onokatsu.co.jp/products/133-00-04,20,床継ぎ目4＋ケース底8＋ケース蓋8＝20本。購入60本の内数。
D62_BEAM_WASHERS,D6.2 1階床支持,継ぎ目支持梁端の大径平座金,M6 ID6.6 OD18 t1.6,4,個,,,,,,,JPY,購入単価未確定,寸法選定済・購入パック未確定,,,4,汎用金属締結材。PLAへのタップではなく貫通締結。追加加工見積は不要。コーナン等の小袋を優先し、価格は未計上。
D64_FLOOR_WASHERS,D6.4 1階床支持,床・ケース用M4 OD12×t1座金,Ysintl JP、M4用OD12×t1、SUS304平座金20枚、ASIN B0H8RT271F,24,枚,40,20枚/パック,2,16,430,860,JPY,2026-09-23 Amazon商品ページ430円/20枚、税込,同寸法の購入先変更、寸法受入確認前,Ysintl JP／Amazon発送,https://www.amazon.co.jp/dp/B0H8RT271F,24,床上下8＋ケース底8＋ケース蓋8＝24枚。20枚430円×2。
D64_FASTENER_SHIP,送料,中央ねじ・座金の別店舗送料,オノカツ385円、北海道・沖縄を除く掲載条件。座金の別店舗送料を削除。,1,式,1,1店舗分,1,0,385,385,JPY,2026-09-23 直販送料表示,配送先未指定の参考送料,オノカツ,https://store.onokatsu.co.jp/pages/user-guide,,M4×16は直販770＋送料385＝1155円。Amazon同品1180円より25円安いので直販維持。座金はAmazonへ変更。まとめ買い時は送料を一度だけ計上。
U03,未選定・未計上,車載LinuxミニPC・記憶媒体・必要な冷却,Linux機。Raspberry Pi 5は候補の一つ、機種・構成は未選定,,,,,,,,,JPY,未見積,車載Linux機を使用、機種と価格は未確定,,,,初回から搭載。所有済みとは仮定しない。1階の既存予約場所へ実部品と配線を配置検証する。
U04,未選定・未計上,車載LinuxミニPC用の給電部材,電池の電圧範囲とPC入力定格を照合。必要な場合のみ完成済みDC/DCを追加,,,,,,,,,JPY,未見積,初回必須、型番・価格未確定,,,,非常停止によるモーター遮断とは別分岐。PCの入力電圧・容量・コネクタに合わせて選定。5V系へ固定しない。U21は別の追加機器用で重複させない。
U06,未選定・未計上,電源着脱・分岐コネクタ,電池アダプターと左右モーターの電源配線用,,,,,,,,,JPY,未見積,走行台車／未選定,,,,付属端子・配線を確認して不足分だけ計上。別の主電源スイッチは初回必須から外す。ヒューズはU07、ケーブルはU13。
U07,未選定・未計上,ヒューズ・ホルダー,電源直近のヒューズとホルダー。DC定格・容量・必要数を配線から決定,,,,,,,,,JPY,未見積,走行台車／未選定,,,,旧5回路の構成・数値を引き継がない。線径、分岐、負荷電流・突入と付属ヒューズを確認して必要分だけ選定。
U08,未選定・未計上,完成済みUSB–RS485変換器,車載LinuxミニPCから左右M0601C_111へ接続する1台,,,,,,,,,JPY,未見積,完成品構成へ再選定・未計上,,,,Picoと別のUART変換器を重複追加しない。Linux対応・速度・信号基準・端子・終端を確認して選定。
U13,未選定・未計上,端末加工済み電源・信号ハーネス,線径・線長・両端の端子番号を配線図で確定,,,,,,,,,JPY,未見積,完成品構成へ再選定・未計上,,,,圧着工具の所有を仮定しない。モーター付属線、スイッチ端子、ヒューズ、RS485終端を含める。
U15,未選定・未計上,電装固定板・ケース・スタンドオフ,最小の通信変換器・非常停止部品の固定と端子絶縁,,,,,,,,,JPY,未見積,走行台車／未選定,,,,既計上PLA床・操作ケースを活用。機種確定後に取付穴を更新。汎用の大きな電装箱を先に追加しない。
U16,未選定・未計上,未確定送料・税・決済換算,WILCO・電装店・Taobao・CNC等,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：1式。送料行で計上済みの分を重複加算しない
U17,未選定・未計上,加工工具・作業費・残る自加工品の外注費,穴加工、切断、面取り、締付・測定工具,,,,,,,,,JPY,未見積,走行台車／未選定,,,,必要数量：必要に応じて。見積済みモーター金具・アルミ天板を除く。キャスター板の加工工具、工賃などは未見積。基礎の平面三角板はD6.3で廃止、加工も不要。切断済み支柱に追加加工は不要。
U18,未選定・未計上,PLA仮合わせモックの材料消費,金具本体・確認片の試作,,,,,,,,,JPY,未見積,製作補助／未選定,,,,必要数量：スライス後。現行P04の車体用PLA640gとは別のモック材料・失敗分。スライス未完。
U20,未選定・未計上,荷物容器・敷板,連続平底200×200mm、重心範囲内,,,,,,,,,JPY,未見積,積載物／未選定,,,,必要数量：1式。荷台上の積載物として重量算入。手持ち品利用可
U22,未選定・未計上,非常停止スイッチ（配線加工不要品）,押下保持式、実負荷を切れるDC接点、ねじ／適合コネクタ端子,,,,,,,,,JPY,未見積,完成品構成へ再選定・未計上,,,,直接遮断を優先し、定格が合わなければリレー1個を追加。2NCや安全コントローラーは必須にしない。型番未選定、旧CADは配置参考。
